150
1738D0
4902.801076D0
16	10	 0.2752398860440D-6	 0.3337212731090D-6
16	11	-0.3044883701110D-6	 0.9257072681800D-6
16	12	-0.1371764845070D-5	 0.1155345850710D-5
16	13	-0.5758799872020D-6	-0.1949327343060D-6
16	14	-0.4576663590240D-6	-0.3014074242930D-6
16	15	-0.1761693125520D-6	-0.1020144807430D-5
16	16	-0.9628968590450D-6	-0.7462358082300D-6
17	0	-0.1038226960540D-5	 0.0000000000000D+0
17	1	 0.8954087022120D-6	 0.1148890905810D-6
17	2	-0.2175584815510D-6	-0.1094291331970D-5
17	3	-0.2242668056020D-6	-0.6137108195280D-6
17	4	 0.1214266484890D-5	 0.2263483871610D-5
17	5	 0.2916769372600D-6	-0.6831758232650D-6
17	6	 0.6370596102190D-6	-0.1390073487090D-5
17	7	-0.1524522089200D-5	-0.1249451885360D-5
17	8	-0.3969190960080D-6	-0.3256063865410D-6
17	9	 0.6281978094380D-6	 0.1460719174180D-5
17	10	 0.7018731237340D-6	 0.6867819477650D-6
17	11	 0.9261199217890D-6	-0.4174493240640D-6
17	12	 0.7510446803960D-6	 0.1396106763890D-6
17	13	 0.2232677083410D-6	-0.7076434055300D-6
17	14	 0.9267517622660D-6	 0.2408841355120D-6
17	15	-0.3745498562030D-6	 0.2130349367470D-6
17	16	-0.4523107620810D-6	-0.2546843835860D-6
17	17	-0.3791369270330D-6	 0.1304032527690D-5
18	0	-0.3729374825060D-6	 0.0000000000000D+0
18	1	 0.2366665067370D-6	-0.7036626940240D-7
18	2	-0.4441053330340D-6	-0.7351719098120D-6
18	3	 0.8879365129750D-6	 0.6601008171620D-6
18	4	-0.7921782272880D-6	 0.1189297631600D-5
18	5	-0.3741443343220D-6	-0.1320788160800D-6
18	6	-0.1665863403370D-5	 0.8276290775240D-6
18	7	-0.1741420148300D-6	-0.9312094180390D-6
18	8	 0.5612734098170D-6	-0.6864212645790D-7
18	9	 0.7945248865730D-6	-0.8657134150460D-6
18	10	 0.6038563969879D-7	-0.6161414929880D-6
18	11	 0.1017924513860D-6	-0.1351848196570D-5
18	12	 0.1163593853870D-5	 0.3296176848420D-6
18	13	-0.8752364441380D-6	-0.1769614818720D-6
18	14	-0.3288948779290D-6	-0.3492723855670D-6
18	15	-0.2750471822990D-6	-0.9953398522280D-6
18	16	 0.1160212548880D-5	-0.1107581830910D-5
18	17	 0.1287255209750D-5	-0.4037107512730D-6
18	18	-0.1188252500830D-6	-0.9777158292279D-7
19	0	 0.5554462184850D-7	 0.0000000000000D+0
19	1	-0.4177670912090D-6	 0.2107503242090D-6
19	2	 0.2798669251220D-6	-0.3635800511500D-6
19	3	-0.7923910275430D-6	 0.9191163977330D-6
19	4	-0.8207805342130D-6	-0.1133023388490D-5
19	5	-0.1048918037340D-6	 0.1363450255840D-5
19	6	 0.2371222121330D-7	 0.4554438482210D-6
19	7	 0.1047558790370D-5	 0.4529922266930D-6
19	8	 0.5267473249970D-6	 0.6733961538880D-6
19	9	-0.1649702247120D-7	-0.8557853752080D-7
19	10	-0.9590424528669D-6	 0.1637910127100D-7
19	11	 0.2400997928510D-6	-0.9121206455900D-7
19	12	 0.1555011047960D-6	-0.2258827128460D-6
19	13	 0.3988985549270D-6	 0.2256033237840D-5
19	14	-0.4963854475290D-6	 0.6893044209140D-6
